National Center for Education Statistics,,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,,
LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalSchools,TotalFiscalStudents,TotalStudents,ClassroomTeachersFTE,StudentTeacherRatio,SummerMigrantStudents,ELLStudents
0691025,Placer County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95603,5,433,433,36.83,11.7567200651643,,26
0630720,Placer Hills Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95722,2,756,756,32.2,23.4782608695652,,3
0630750,Placer Union High,CALIFORNIA,02-Secondary school system only,09,12,95603,6,4004,4004,173.74,23.0459307010475,,77
0630780,Placerville Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95667,3,1304,1304,57.6,22.6388888888889,,174
0630810,Plainsburg Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95341,1,110,110,5.8,18.9655172413793,,8
0630840,Planada Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95365,2,833,833,35.75,23.3006993006993,,455
0630870,Plaza Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95963,1,207,207,9.06,22.8476821192053,,29
0630900,Pleasant Grove Joint Union,CALIFORNIA,01-Elementary school system only,KG,08,95668,1,182,182,9,20.2222222222222,,5
0630930,Pleasant Ridge Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95949,5,1148,1148,51.77,22.1750048290516,,9
0630990,Pleasant Valley,CALIFORNIA,01-Elementary school system only,KG,08,93010,12,6288,6288,277.7,22.6431400792222,,584
0631020,Pleasant Valley Joint Union Elementary,CALIFORNIA,01-Elementary school system only,KG,06,93451,1,54,54,4,13.5,,12
0631050,Pleasant View Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93257,2,471,471,19,24.7894736842105,,332
0600020,Pleasanton Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94566,16,14978,14978,629.76,23.7836636178862,,1706
0691102,Plumas County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95971,3,,19,5.26,3.61216730038023,,
0631180,Plumas Lake Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95961,3,1323,1323,64.29,20.5786280914606,,78
0631170,Plumas Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95971,10,1854,1854,95.34,19.4461925739459,,82
0631290,Pollock Pines Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95726,2,663,663,32,20.71875,,10
0631320,Pomona Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91769,41,23185,23185,1343.33,17.2593480380845,,5388
0631350,Pond Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93280,1,199,199,9,22.1111111111111,,70
0631380,Pope Valley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94567,1,50,50,4,12.5,,15
0600064,Porterville Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93257,23,14205,14205,585.47,24.2625582865049,,3761
0631470,Portola Valley Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94028,2,575,575,36.46,15.7707076247943,,26
0631400,Potter Valley Community Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95469,4,264,264,14.51,18.1943487250172,,44
0631530,Poway Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92128,38,36450,36450,1442.56,25.2675798580302,,4058
0631620,Princeton Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95970,2,140,140,12,11.6666666666667,,27
0631680,Raisin City Elementary,CALIFORNIA,06-Nonoperating school system,KG,12,93652,1,,286,12,23.8333333333333,,203
0631710,Ramona City Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92065,11,5472,5472,226.18,24.1931205234769,,698
0631740,Rancho Santa Fe Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92067,2,601,601,47.6,12.6260504201681,,27
0631830,Ravendale-Termo Elementary,CALIFORNIA,01-Elementary school system only,KG,12,96130,1,9,9,1,9,,3
0631860,Ravenswood City Elementary,CALIFORNIA,01-Elementary school system only,KG,12,94303,7,2391,2391,107.79,22.1820205956026,,1439
0631920,Raymond-Knowles Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93653,1,81,81,4,20.25,,4
0632010,Red Bluff Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,96080,2,1643,1643,81.33,20.2016476085085,,51
0631980,Red Bluff Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96080,5,2044,2044,87.9,23.2536973833902,,256
0632040,Redding Elementary,CALIFORNIA,03-Elementary/secondary school system,KG,12,96099,9,3158,3158,138.88,22.7390552995392,,103
0632070,Redlands Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92373,25,21012,21012,860.78,24.4104184576779,,1856
0600032,Redondo Beach Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90278,13,10041,10041,393.36,25.526235509457,,422
0632130,Redwood City Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94063,16,7524,7524,324.21,23.2071805311372,,2440
0632160,Reed Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94920,3,1364,1364,80.69,16.9042012640972,,41
0632250,Reeds Creek Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96080,1,172,172,6.3,27.3015873015873,,4
0632270,Reef-Sunset Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93204,9,2677,2677,114.52,23.3758295494237,,1284
0632310,Rescue Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95672,7,3632,3632,155.09,23.4186601328261,,178
0632370,Rialto Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92376,30,25066,25066,1046.91,23.942841313962,,5936
0632400,Richfield Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96021,1,252,252,10,25.2,,55
0632430,Richgrove Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93261,1,589,589,28,21.0357142857143,,386
0621450,Richland Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93263,4,2930,2930,153.41,19.0991460791343,,1096
0632520,Richmond Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96130,1,226,226,9,25.1111111111111,,
0632610,Rim of the World Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92352,7,3236,3236,129.78,24.934504546155,,354
0632640,Rincon Valley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95405,9,3307,3307,159.8,20.6946182728411,,441
0632710,Rio Bravo-Greeley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93314,2,1083,1083,47.5,22.8,,133
0632730,Rio Dell Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95562,2,307,307,16,19.1875,,49
0632760,Rio Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93036,9,5219,5219,228.8,22.8103146853147,,2347
0632880,Ripon Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95366,7,3268,3268,139.14,23.4871352594509,,362
0633110,River Delta Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94571,11,1948,1948,86.65,22.4812463935372,,394
0600061,Riverbank Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95367,6,3016,3016,131.5,22.93536121673,,1243
0600040,Riverdale Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93656,4,1563,1563,79.01,19.7823060372105,,587
0691026,Riverside County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,92502,5,,,,0,,416
0633150,Riverside Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92516,49,40708,40708,1684.97,24.1594805842241,,6851
0633210,Roberts Ferry Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95386,2,161,161,9,17.8888888888889,,31
0633240,Robla Elementary,CALIFORNIA,01-Elementary school system only,KG,12,95838,6,2047,2047,87,23.5287356321839,,788
0633270,Rockford Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93257,1,339,339,17.6,19.2613636363636,,37
0600013,Rocklin Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95677,17,12131,12131,528.39,22.9584208633774,,492
0633390,Romoland Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92548,5,4090,4090,170.26,24.0220838717256,,669
0633480,Rosedale Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93312,9,5797,5797,254.32,22.7941176470588,,197
0633510,Roseland,CALIFORNIA,01-Elementary school system only,KG,12,95407,3,1412,1412,60,23.5333333333333,,1070
0633570,Rosemead Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91770,5,2418,2418,110,21.9818181818182,,1020
0633600,Roseville City Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95678,19,11344,11344,478.25,23.7198118139049,,1109
0633630,Roseville Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,95661,7,10308,10308,445.42,23.142202864712,,248
0633660,Ross Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94957,1,394,394,26.55,14.8399246704331,,
0600006,Ross Valley Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94960,5,2094,2094,96.06,21.7988757026858,,60
0633690,Round Valley Joint Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93514,1,137,137,8.5,16.1176470588235,,5
0633720,Round Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95428,3,409,409,24.85,16.4587525150905,,67
0633750,Rowland Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91748,22,13249,13249,542.74,24.4113203375465,,3163
0633840,Sacramento City Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95824,73,42506,42506,1869.07,22.7417913721797,,8075
0691027,Sacramento County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95826,7,886,886,74.79,11.8465035432544,,108
0633860,Saddleback Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92691,35,26747,26747,928.15,28.8175402682756,,4648
0637830,Saint Helena Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94574,4,1267,1267,80.2,15.7980049875312,,219
0633900,Salida Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95368,6,2419,2419,105,23.0380952380952,,679
0633930,Salinas City Elementary,CALIFORNIA,01-Elementary school system only,KG,06,93901,14,8689,8689,370,23.4837837837838,,4452
0633980,Salinas Union High,CALIFORNIA,02-Secondary school system only,07,12,93901,12,15818,15818,714.13,22.150028706258,,3404
0634050,San Antonio Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93932,1,120,120,9,13.3333333333333,,23
0634080,San Ardo Union Elementary,CALIFORNIA,06-Nonoperating school system,KG,08,93450,1,,110,5,22,,81
0691028,San Benito County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95023,4,,29,3.3,8.78787878787879,,6
0634140,San Benito High,CALIFORNIA,02-Secondary school system only,09,12,95023,2,3108,3108,110.18,28.2083862770013,,394
0634170,San Bernardino City Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92410,75,49005,49005,2086.29,23.4890643199172,,11826
0691029,San Bernardino County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,92415,3,2033,2033,182.51,11.1391156648951,,309
0634230,San Bruno Park Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94066,6,2505,2505,96.93,25.8433921386568,,794
0634290,San Carlos Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94070,9,3060,3060,152.36,20.0840115515883,,282
0691030,San Diego County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,92111,8,1385,1385,115.75,11.9654427645788,,480
0634320,San Diego Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92103,176,103194,103194,4387.87,23.51801671426,,21590
0634380,San Dieguito Union High,CALIFORNIA,02-Secondary school system only,07,12,92024,10,13128,13128,516.25,25.4295399515739,,554
0691111,San Francisco County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,94102,4,295,295,20.5,14.390243902439,,63
0634410,San Francisco Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94102,114,52498,52498,3189.1,16.4616976576464,,15032
0634425,San Gabriel Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91776,8,4990,4990,219.14,22.7708314319613,,1130
0634440,San Jacinto Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92583,15,10132,10132,418.56,24.2068042813456,,1850
0691031,San Joaquin County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95213,3,4153,1932,127.3,15.1767478397486,,350
0634590,San Jose Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95126,42,29762,29762,1255.95,23.6968032166886,,6606
0634620,San Juan Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95609,68,40058,40058,1690.79,23.6918836756782,,5875
0634680,San Leandro Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94577,12,8926,8926,376.61,23.7009107564855,,2652
0634710,San Lorenzo Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94580,17,10201,10201,441.16,23.1231299301841,,2924
0634740,San Lorenzo Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95005,6,2621,2621,113.84,23.023541813071,,55
0634770,San Lucas Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93954,1,73,73,3,24.3333333333333,,24
0634800,San Luis Coastal Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93401,16,7653,7653,330.85,23.1313283965543,,801
0691032,San Luis Obispo County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,93405,4,375,375,27.2,13.7867647058824,,73
0634880,San Marcos Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92069,19,21007,21007,0,0,,3067
0634860,San Marino Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91108,4,2967,2967,148.95,19.9194360523666,,352
0691033,San Mateo County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,94065,6,223,223,32,6.96875,,79
0634980,San Mateo Union High,CALIFORNIA,02-Secondary school system only,09,12,94401,8,9020,9020,452.9,19.9160962684919,,880
0634920,San Mateo-Foster City,CALIFORNIA,01-Elementary school system only,KG,08,94404,21,11724,11724,498.43,23.5218586361174,,3153
0635010,San Miguel Joint Union,CALIFORNIA,01-Elementary school system only,KG,08,93451,2,615,615,24.52,25.0815660685155,,228
0635040,San Pasqual Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92027,1,584,584,30.2,19.3377483443709,,61
0635070,San Pasqual Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92283,5,689,689,42.35,16.2691853600945,,161
0635090,San Rafael City Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94903,10,4614,4614,208.8,22.0977011494253,,2139
0635110,San Rafael City High,CALIFORNIA,02-Secondary school system only,09,12,94903,3,2640,2640,118.7,22.2409435551811,,493
0635130,San Ramon Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94526,37,32138,32138,1317.37,24.3955760340679,,1737
0635220,San Ysidro Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92173,7,4578,4578,205,22.3317073170732,,2840
0635250,Sanger Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93657,20,12305,12305,529.99,23.2174191965886,,1854
0635310,Santa Ana Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92701,56,46961,46961,1859.69,25.252058138722,,16327
0691034,Santa Barbara County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,93160,3,186,186,24.31,7.65117235705471,,76
0691035,Santa Clara County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95131,4,,,,0,,589
0635490,Santa Clara Elementary,CALIFORNIA,01-Elementary school system only,KG,06,93060,1,59,59,2.5,23.6,,
0635430,Santa Clara Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95052,27,15387,15387,618.1,24.8940300922181,,4125
0601327,Santa Cruz City Elementary/High,CALIFORNIA,†,N,N,95073,0,6599,,,0,,
0691036,Santa Cruz County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95060,4,1468,1362,69.01,19.7362701057818,,173
0635670,Santa Maria Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,93455,4,8166,8166,353.24,23.1174272449326,,1589
0605580,Santa Maria-Bonita,CALIFORNIA,01-Elementary school system only,KG,08,93454,20,16940,16940,710.95,23.8272733666221,,8309
0635700,Santa Monica-Malibu Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90404,18,10625,10625,495.93,21.4243945718146,,888
0635790,Santa Rita Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93906,7,3646,3646,114,31.9824561403509,,1609
0601329,Santa Rosa City Schools,CALIFORNIA,†,N,N,95401,0,15980,,,0,,
0635850,Santa Ynez Valley Union High,CALIFORNIA,02-Secondary school system only,09,12,93460,2,926,926,45.08,20.5412599822538,,23
0635880,Santee,CALIFORNIA,01-Elementary school system only,KG,08,92071,11,6826,6826,264.73,25.7847618328108,,647
0635910,Saratoga Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95070,5,1765,1765,91.17,19.3594384117583,,129
0635940,Saucelito Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93270,1,78,78,4.8,16.25,,33
0635970,Saugus Union,CALIFORNIA,01-Elementary school system only,KG,06,91355,15,9791,9791,381.8,25.6443163960189,,1188
0636000,Sausalito Marin City,CALIFORNIA,01-Elementary school system only,KG,08,94965,1,119,119,10.95,10.8675799086758,,36
0636030,Savanna Elementary,CALIFORNIA,01-Elementary school system only,KG,06,92804,4,2199,2199,92.55,23.7601296596434,,869
0636100,Scotia Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95565,1,176,176,9,19.5555555555556,,10
0600159,Scott Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,96032,6,668,668,36.26,18.4225041367899,,11
0600043,Scotts Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95066,4,2421,2421,104.73,23.1165855055858,,45
0636180,Sebastopol Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95472,2,463,463,23.6,19.6186440677966,,68
0636210,Seeley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92273,1,371,371,14,26.5,,178
0636240,Seiad Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96086,1,18,18,1,18,,3
0636270,Selma Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93662,12,6393,6393,280.36,22.8028249393637,,1695
0636330,Semitropic Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93280,1,214,214,11,19.4545454545455,,141
0636360,Sequoia Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93244,2,358,358,20,17.9,,20
0636390,Sequoia Union High,CALIFORNIA,02-Secondary school system only,09,12,94062,6,9385,9021,462.92,19.4871684092284,,1262
0636420,Shaffer Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96117,1,192,192,9.5,20.2105263157895,,24
0636450,Shandon Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93461,3,297,297,19.3,15.3886010362694,,125
0691037,Shasta County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,96001,4,182,182,10.2,17.843137254902,,5
0636570,Shasta Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96099,1,114,114,6.8,16.7647058823529,,3
0636600,Shasta Union High,CALIFORNIA,02-Secondary school system only,06,12,96001,6,5412,4428,197.5,22.420253164557,,69
0636660,Shiloh Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95358,2,175,175,9,19.4444444444444,,87
0636670,Shoreline Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94971,6,508,508,0,0,,214
0691120,Sierra County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,96118,1,0,0,0,0,,
0636800,Sierra Sands Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93555,11,5118,5118,230.48,22.2058313085734,,334
0636805,Sierra Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93651,6,1271,1271,63.5,20.0157480314961,,10
0636780,Sierra-Plumas Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,96118,5,407,407,23.81,17.0936581268375,,15
0636810,Silver Fork Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95726,1,13,13,2,6.5,,
0636820,Silver Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92398,9,2167,2167,104.8,20.6774809160305,,117
0636840,Simi Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93065,27,16451,16451,704.91,23.3377310578655,,1847
0691038,Siskiyou County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,96097,2,,,,0,,
0636940,Siskiyou Union High,CALIFORNIA,02-Secondary school system only,09,12,96067,4,569,569,37.64,15.1168969181722,,13
0636960,Snelling-Merced Falls Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95369,1,78,78,4.7,16.5957446808511,,18
0636970,Snowline Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92329,12,7439,7439,292.31,25.449009613082,,675
0636990,Solana Beach Elementary,CALIFORNIA,01-Elementary school system only,KG,06,92075,7,2891,2891,129.2,22.3761609907121,,363
0691122,Solano County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,94534,3,397,397,48.51,8.18387961245104,,24
0637050,Soledad Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93960,10,4905,4905,203.69,24.0807108841868,,1577
0637110,Solvang Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93463,1,605,605,27,22.4074074074074,,137
0637140,Somis Union,CALIFORNIA,01-Elementary school system only,KG,08,93066,1,238,238,13.1,18.1679389312977,,89
0691040,Sonoma County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95403,3,547,547,50.19,10.8985853755728,,111
0637200,Sonoma Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95476,9,3873,3873,186.04,20.8181036336272,,1130
0637230,Sonora Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95370,1,742,742,36.8,20.1630434782609,,43
0637260,Sonora Union High,CALIFORNIA,02-Secondary school system only,09,12,95370,3,1051,1051,42.44,24.7643732327992,,27
0637290,Soquel Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95010,5,1894,1894,79.23,23.9050864571501,,198
0637320,Soulsbyville Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95372,1,539,539,27,19.962962962963,,9
0637380,South Bay Union,CALIFORNIA,01-Elementary school system only,KG,08,91932,12,7199,7199,301.97,23.840116567871,,3589
0637350,South Bay Union Elementary,CALIFORNIA,01-Elementary school system only,KG,12,95503,3,472,472,22.78,20.71992976295,,58
0637470,South Fork Union,CALIFORNIA,01-Elementary school system only,KG,08,93283,1,253,253,11.5,22,,4
0619650,South Monterey County Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,93930,4,2421,2421,99.79,24.2609479907806,,419
0637500,South Pasadena Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91030,5,4770,4770,195.83,24.357861410407,,334
0637530,South San Francisco Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94080,17,8485,8485,395.43,21.4576536934476,,1763
0637560,South Whittier Elementary,CALIFORNIA,01-Elementary school system only,KG,08,90605,7,2716,2716,120.56,22.528201725282,,1137
0637590,Southern Humboldt Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95553,8,760,760,38.05,19.9737187910644,,47
0637620,Southern Kern Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93560,6,3557,3557,175.46,20.2724267639348,,520
0637630,Southern Trinity Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95526,4,93,93,9.3,10,,3
0637650,Southside Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95023,1,213,213,0,0,,34
0637680,Spencer Valley Elementary,CALIFORNIA,01-Elementary school system only,KG,12,92070,1,41,41,4,10.25,,6
0637710,Spreckels Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93962,2,981,981,44,22.2954545454545,,59
0637770,Springville Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93265,1,320,320,16,20,,18
0637890,Standard Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93308,4,3093,3093,143.99,21.4806583790541,,138
0691041,Stanislaus County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95354,5,1680,953,74.5,12.7919463087248,,178
0637950,Stanislaus Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95350,6,3627,3627,149.25,24.3015075376884,,903
0638010,Stockton Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95202,55,37565,37565,1216.67,30.8752578760058,,8662
0638040,Stone Corral Elementary,CALIFORNIA,01-Elementary school system only,KG,12,93292,1,130,130,7,18.5714285714286,,91
0638070,Stony Creek Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95939,4,62,62,9.6,6.45833333333333,,
0638130,Strathmore Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93267,2,779,779,35,22.2571428571429,,403
0638220,Sulphur Springs Union,CALIFORNIA,01-Elementary school system only,KG,06,91351,10,5336,5336,209.82,25.4313220855972,,1031
0638250,Summerville Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95379,1,409,409,19.5,20.974358974359,,3
0638280,Summerville Union High,CALIFORNIA,02-Secondary school system only,KG,12,95379,6,,,57.57,,,3
0638340,Sundale Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93274,1,826,826,32,25.8125,,99
0638430,Sunnyside Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93267,1,368,368,17.4,21.1494252873563,,172
0638460,Sunnyvale,CALIFORNIA,01-Elementary school system only,KG,08,94086,10,6664,6664,297.27,22.4173310458506,,2002
0600021,Sunol Glen Unified,CALIFORNIA,01-Elementary school system only,KG,08,94586,1,297,297,14.1,21.063829787234,,18
0638520,Surprise Valley Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,96104,2,116,116,8.71,13.3180252583238,,7
0638550,Susanville Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96130,3,1122,1122,50.54,22.2002374356945,,58
0691042,Sutter County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95993,2,368,368,37.2,9.89247311827957,,78
0638610,Sutter Union High,CALIFORNIA,02-Secondary school system only,09,12,95982,2,775,775,33.3,23.2732732732733,,12
0638640,Sweetwater Union High,CALIFORNIA,02-Secondary school system only,KG,12,91911,28,39165,39165,1672.53,23.4166203296802,,8614
0638670,Sylvan Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95350,13,8261,8261,337.84,24.4524035046176,,1263
0638700,Taft City,CALIFORNIA,01-Elementary school system only,KG,08,93268,6,2341,2341,106.13,22.0578535758033,,736
0638730,Taft Union High,CALIFORNIA,02-Secondary school system only,09,12,93268,2,1016,1016,55.31,18.3691918278792,,95
0638770,Tahoe-Truckee Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,96161,11,3955,3955,199.47,19.8275429889206,,524
0638790,Tamalpais Union High,CALIFORNIA,02-Secondary school system only,09,12,94977,5,5043,5043,277.09,18.1998628604425,,108
0638880,Tehachapi Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93561,6,4307,4307,178.15,24.1762559640752,,288
0691043,Tehama County Department of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,96080,4,245,245,15.9,15.4088050314465,,13
0600028,Temecula Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92592,28,27992,27992,1136.54,24.629137557851,,1597
