National Center for Education Statistics,,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,,
LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalSchools,TotalFiscalStudents,TotalStudents,ClassroomTeachersFTE,StudentTeacherRatio,SummerMigrantStudents,ELLStudents
0625350,Monson-Sultana Joint Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93666,1,459,459,21,21.8571428571429,,131
0625380,Montague Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96064,1,163,163,8,20.375,,3
0625410,Monte Rio Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95462,1,84,84,5.2,16.1538461538462,,4
0625470,Montebello Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90640,29,25409,25409,996.25,25.5046424090339,,8443
0625500,Montecito Union Elementary,CALIFORNIA,01-Elementary school system only,KG,06,93108,1,394,394,32.5,12.1230769230769,,22
0691021,Monterey County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,93912,4,,,,0,,242
0625530,Monterey Peninsula Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93942,23,10111,10111,503.82,20.068675320551,,2814
0625650,Montgomery Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95421,1,33,33,3,11,,3
0625690,Moorpark Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93021,11,6177,6177,273.95,22.5479102025917,,906
0625740,Moraga Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94556,4,1851,1851,81.19,22.7983741840128,,48
0625770,Moreland,CALIFORNIA,01-Elementary school system only,KG,08,95130,7,4703,4703,206.63,22.760489764313,,1361
0625800,Moreno Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92553,41,32763,32763,1444.62,22.679320513353,,6507
0625830,Morgan Hill Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95037,13,8294,8294,349.48,23.7324024264622,,1347
0625860,Morongo Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92277,17,8616,8616,364.01,23.669679404412,,413
0625980,Mother Lode Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95667,2,1030,1030,46.17,22.3088585661685,,144
0626400,Mount Pleasant Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95148,5,2229,2229,96.45,23.1104199066874,,1033
0626070,Mountain Elementary,CALIFORNIA,01-Elementary school system only,KG,06,95073,1,143,143,6,23.8333333333333,,5
0626100,Mountain Empire Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91962,11,1699,1699,85.6,19.8481308411215,,432
0626130,Mountain House Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94514,1,17,17,1.01,16.8316831683168,,6
0627040,Mountain Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96065,1,73,73,4,18.25,,3
0600018,Mountain Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,96041,3,254,254,16.28,15.6019656019656,,33
0626190,Mountain View Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91732,12,6346,6346,277.41,22.8758876752821,,3521
0626220,Mountain View Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91761,4,2532,2532,97.67,25.9240298965906,,380
0626280,Mountain View Whisman,CALIFORNIA,01-Elementary school system only,KG,08,94043,14,5110,5110,232.77,21.9530008162564,,1109
0626310,Mountain View-Los Altos Union High,CALIFORNIA,02-Secondary school system only,09,12,94040,3,4394,4394,228.5,19.2297592997812,,269
0626340,Mt. Baldy Joint Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91759,1,94,94,5,18.8,,4
0626370,Mt. Diablo Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94519,52,31013,31013,1388.68,22.3327188409137,,6278
0626040,Mt. Shasta Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96067,2,558,558,26.2,21.2977099236641,,9
0626430,Mulberry Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92227,1,73,73,4,18.25,,16
0626460,Mupu Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93060,1,166,166,7.62,21.7847769028871,,15
0626490,Muroc Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93523,4,1793,1793,85.3,21.0199296600234,,12
0600029,Murrieta Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92562,20,23251,23251,893.91,26.0104484791534,,1330
0691022,Napa County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,94559,4,103,103,21.1,4.88151658767772,,25
