National Center for Education Statistics,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,
LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalCurrentExpendituresPerStudent,InstructionalExpendituresPerStudent,StudentandStaffSupportPerStudent,AdministrationPerStudent,OperationsPerStudent,v33
0601325,Arena Union Elementary/Point Arena Joint Union High,CALIFORNIA,03-Elementary/secondary school system,KG,12,95468,20905.6603773585,9525.6064690027,1636.11859838275,4371.96765498652,5371.96765498652,371
0603180,Armona Union Elementary,CALIFORNIA,03-Elementary/secondary school system,KG,12,93202,13266.4907651715,7935.79595426561,1372.03166226913,1910.29023746702,2048.37291116974,1137
0691136,Aromas - San Juan Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95045,12068.0772769089,6961.36154553818,720.33118675253,1980.68077276909,2405.70377184913,1087
0603270,Arvin Union,CALIFORNIA,01-Elementary school system only,KG,08,93203,13359.8963394882,7709.75056689342,1850.01619695497,1437.96566245546,2362.16391318432,3087
0603300,Atascadero Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93422,11287.8851836218,7028.70409455466,1347.40396791895,1308.56901646264,1603.20810468552,4738
0603420,Atwater Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95301,10755.7073170732,6559.41463414634,994.341463414634,1322.92682926829,1879.0243902439,5125
0603480,Auburn Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95603,12384.9439402029,7415.37640149493,1099.30592632141,1677.52269087026,2192.73892151628,1873
0603600,Azusa Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91702,15088.3895131086,9008.61423220974,1952.05992509363,1879.15106117353,2248.56429463171,8010
0603610,Baker Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92309,22888.0597014925,11298.5074626866,186.567164179104,5798.50746268657,5604.4776119403,134
0603630,Bakersfield City,CALIFORNIA,01-Elementary school system only,KG,08,93305,14645.7994932103,9141.08894808654,1620.13514391528,1486.71301409915,2397.86238710935,30782
0603690,Baldwin Park Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91706,14542.6202057252,8737.97942747787,1715.73239773543,1737.18204289929,2351.72633761263,12541
0603720,Ballard Elementary,CALIFORNIA,01-Elementary school system only,KG,06,93463,18060.6060606061,13409.0909090909,7.57575757575758,3272.72727272727,1371.21212121212,132
0603750,Ballico-Cressey Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95303,12180.1075268817,7567.20430107527,129.032258064516,2454.30107526882,2029.56989247312,372
0603780,Bangor Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95914,14520.4081632653,7255.10204081633,163.265306122449,2714.28571428571,4387.75510204082,98
0603840,Banning Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92220,13707.1691574616,7780.8100498159,1337.01537795105,1784.27550357375,2805.06822612086,4617
0603870,Banta Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95304,17452.380952381,8467.2619047619,1273.80952380952,5000,2711.30952380952,336
0604020,Barstow Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92311,12804.2244640605,7474.46406052963,1016.70870113493,1862.23203026482,2450.81967213115,6344
0604080,Bass Lake Joint Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93644,11190.7968574635,6548.82154882155,665.544332210999,1809.20314253648,2167.2278338945,891
0604110,Bassett Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91746,13621.3068181818,7263.92045454546,1326.13636363636,2390.34090909091,2640.90909090909,3520
0604200,Bayshore Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94014,16878.6279683377,10833.7730870712,836.411609498681,3535.62005277045,1672.82321899736,379
0604230,Bear Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92315,12197.0684039088,7275.65146579805,842.019543973941,1942.58957654723,2136.80781758958,2456
0604260,Beardsley Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93308,12820.365535248,7614.09921671018,1206.78851174935,1655.35248041775,2344.12532637076,1915
0604290,Beaumont Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92223,11807.0209092653,6946.86361020526,1319.39382313447,1731.82428544025,1808.93919048533,10426
0604350,Bella Vista Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96008,12126.7217630854,6887.0523415978,1030.30303030303,1953.16804407713,2256.19834710744,363
0604500,Belleview Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95370,13518.9873417722,7670.88607594937,278.481012658228,2556.96202531646,3012.6582278481,158
0604380,Bellevue Union,CALIFORNIA,01-Elementary school system only,KG,06,95407,14070.9438618137,8425.04626773596,1199.87661937076,1868.59962985811,2577.42134484886,1621
0604440,Bellflower Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90706,13391.3974809357,8567.13220803702,1415.47425242053,1503.81286950561,1904.9781509725,11671
0604530,Belmont-Redwood Shores Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94002,12392.9897864438,8392.06128133705,1321.72701949861,1581.47632311978,1097.72516248839,4308
0604560,Belridge Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93251,30666.6666666667,13138.8888888889,0,9916.66666666667,7611.11111111111,36
0604620,Benicia Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94510,10914.4144144144,6820.67782067782,1035.17803517804,1622.05062205062,1436.50793650794,4662
0604650,Bennett Valley Union Elementary,CALIFORNIA,01-Elementary school system only,KG,06,95405,11660.3015075377,8337.68844221106,197.989949748744,1564.82412060301,1559.79899497487,995
0604740,Berkeley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94702,17279.787993069,10527.5710936704,2218.73407399857,2009.3772296402,2524.10559575986,9811
0604800,Berryessa Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95132,12461.9347452776,7969.94848311391,1268.17401259302,1885.08872352604,1338.72352604465,6988
0604830,Beverly Hills Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90212,19768.8841770474,11525.3114232706,2630.00265041081,2553.67081897694,3059.89928438908,3773
0604860,Big Creek Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93605,28022.2222222222,12111.1111111111,155.555555555556,7600,8155.55555555556,45
0604890,Big Lagoon Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95570,29315.7894736842,11473.6842105263,473.684210526316,9947.36842105263,7421.05263157895,19
0691137,Big Oak Flat-Groveland Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95321,18351.9736842105,9611.84210526316,559.210526315789,4055.92105263158,4125,304
0604950,Big Pine Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93513,30066.1764705882,15470.5882352941,2132.35294117647,5426.47058823529,7036.76470588235,136
0604980,Big Springs Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96064,11379.1208791209,6620.87912087912,565.934065934066,1818.68131868132,2373.62637362637,182
0600031,Big Sur Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93920,0,0,0,0,0,
0605010,Big Valley Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,96009,20401.5748031496,10165.3543307087,385.826771653543,4818.89763779528,5031.49606299213,127
