National Center for Education Statistics,,,,,,,,,,,,
Education Finance Peer Tool,,,,,,,,,,,,
The file contains (980) records based on your search.,,,,,,,,,,,,
NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user.,,,,,,,,,,,,
LEAID,DistrictName,State,SchoolLevel,GradeSpanLow,GradeSpanHigh,ZipCode,TotalCurrentExpendituresPerStudent,InstructionalExpendituresPerStudent,StudentandStaffSupportPerStudent,AdministrationPerStudent,OperationsPerStudent,v33
0607980,Central Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93245,15290.0432900433,9743.50649350649,1378.78787878788,1989.71861471861,2178.0303030303,1848
0608010,Central Union High,CALIFORNIA,02-Secondary school system only,09,12,92243,13804.0963855422,7913.49397590361,1632.04819277108,1879.03614457831,2379.51807228916,4150
0608070,Centralia Elementary,CALIFORNIA,01-Elementary school system only,KG,06,90620,13145.7000710732,7963.98957592987,1491.58967069415,1620.94290452499,2069.17791992419,4221
0608130,Ceres Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95307,12822.123709912,7221.44489852462,1906.90586686985,1944.86389139018,1748.90905312738,14437
0608160,Chaffey Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,91762,13298.3293556086,8652.2212452372,1574.38345266508,1169.74416949294,1901.98048821337,23883
0608190,Charter Oak Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91724,12980.1353416285,7626.9373499236,1522.59332023576,1899.80353634578,1930.80113512334,4581
0608250,Chatom Union,CALIFORNIA,01-Elementary school system only,KG,08,95380,13494.966442953,7964.76510067114,501.677852348993,2442.95302013423,2585.57046979866,596
0600116,Chawanakee Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93643,11561.0859728507,5709.65309200603,794.117647058824,1975.86726998492,3081.44796380091,1326
0608340,Chicago Park Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95945,10535.5191256831,5622.95081967213,710.382513661202,2775.95628415301,1426.22950819672,183
0608370,Chico Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95928,13349.6160758046,8232.96846920438,1421.0913249469,1516.50057180199,2179.05570985133,12242
0608460,Chino Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91710,10931.424429141,7006.05291772381,1282.85610728525,1256.97716563972,1385.53823849221,27590
0608520,Chowchilla Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93610,11427.1714922049,6583.96436525612,905.567928730512,1792.87305122494,2144.76614699332,2245
0608550,Chowchilla Union High,CALIFORNIA,02-Secondary school system only,09,12,93610,12769.0925426774,6902.06648697215,1101.5274034142,1807.72686433064,2957.77178796047,1113
0608580,Chualar Union,CALIFORNIA,01-Elementary school system only,KG,08,93925,14106.7961165049,6682.84789644013,1585.76051779935,2682.84789644013,3155.33980582524,309
0608610,Chula Vista Elementary,CALIFORNIA,01-Elementary school system only,KG,12,91910,10899.5018535681,6778.8171918443,1302.36329935125,1083.46848934198,1734.85287303058,34528
0608640,Cienega Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95023,14600,9440,80,2560,2520,25
0608700,Cinnabar Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94952,15910.1123595506,9153.55805243446,1483.14606741573,1850.1872659176,3423.22097378277,267
0608760,Claremont Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91711,12212.6709863211,7014.39884809215,1772.21022318215,1651.69186465083,1774.37005039597,6945
0608850,Clay Joint Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93631,10108.8709677419,5967.74193548387,431.451612903226,2125,1584.67741935484,248
0608880,Clear Creek Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95949,10656.050955414,6280.25477707006,305.732484076433,3006.36942675159,1063.69426751592,157
0608970,Cloverdale Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95425,13819.6363636364,9030.54545454545,812.363636363636,2022.54545454545,1954.18181818182,1375
0609030,Clovis Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93611,11404.4471153846,6730.76923076923,1607.41031804734,1205.08968195266,1861.17788461538,43264
0609070,Coachella Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92274,14846.1235733963,9213.58295384269,1015.96671726542,1924.32675549559,2692.2471467926,17787
0609120,Coalinga-Huron Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93210,13147.3354231975,7304.29914912674,1627.63098969996,1594.93954321541,2620.4657411554,4466
0600049,Coast Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93428,21926.9162210339,11037.4331550802,1582.88770053476,4393.93939393939,4912.6559714795,561
0609240,Coffee Creek Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96091,30555.5555555556,17666.6666666667,888.888888888889,7777.77777777778,4222.22222222222,9
0609270,Cold Spring Elementary,CALIFORNIA,01-Elementary school system only,KG,06,93108,23319.5266272189,15301.775147929,946.745562130178,4816.56804733728,2254.43786982249,169
0609300,Colfax Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95713,12731.3019390582,7678.6703601108,875.346260387812,1670.36011080332,2506.92520775623,361
0609330,College Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93460,17386.7403314917,12651.9337016575,0,2627.07182320442,2107.73480662983,362
0609390,Colton Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92324,12720.405196693,7437.7668756246,1585.0822204052,1510.94757881348,2186.60852184973,22014
0609450,Columbia Elementary,CALIFORNIA,01-Elementary school system only,KG,12,96003,12955.7867360208,7884.26527958387,791.937581274382,2334.20026007802,1945.38361508453,769
0609480,Columbia Union,CALIFORNIA,01-Elementary school system only,KG,08,95310,11581.1088295688,6891.1704312115,525.667351129363,1860.36960985626,2303.90143737166,487
0609510,Columbine Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93215,10504.9504950495,7009.90099009901,0,1871.28712871287,1623.76237623762,202
0691004,Colusa County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95932,0,0,0,0,0,
0609570,Colusa Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95932,11553.0201342282,7176.51006711409,577.852348993289,1871.14093959732,1927.51677852349,1490
0609620,Compton Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90221,15205.751683944,9228.49089953662,1530.16767782926,1843.30960684087,2603.78349973726,20933
0609640,Conejo Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91362,11119.1873098653,7263.63537592351,943.828770099957,1447.25119513255,1464.47196870926,18408
0691005,Contra Costa County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,94523,0,0,0,0,0,
0609690,Corcoran Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93212,13053.9481615431,7597.64918625678,1512.05545509343,1605.18384569017,2339.05967450271,3318
0609780,Corning Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96021,12275.390625,7682.6171875,583.49609375,1728.515625,2280.76171875,2048
0609810,Corning Union High,CALIFORNIA,02-Secondary school system only,09,12,96021,13719.801980198,7687.12871287129,1497.0297029703,1704.9504950495,2830.69306930693,1010
0609850,Corona-Norco Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92860,11657.7487641976,7500.64148522697,1299.57360099619,1301.85653371571,1555.67714425871,53002
0609870,Coronado Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92118,13948.3153418384,8931.63231926726,1318.28590121034,1706.24795551194,1992.14916584887,3057
0609940,Cotati-Rohnert Park Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94928,13081.1654526535,8025.66770724939,1400.97121054457,1705.34165799514,1949.18487686438,5766
0609990,Cottonwood Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96022,11967.8111587983,7520.38626609442,618.025751072961,1679.18454935622,2150.21459227468,932
0610050,Covina-Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91723,13698.0278323231,8752.58260052933,1182.5322291471,1681.2089131734,2081.70408947323,11713
0616300,Cucamonga Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91730,13979.020979021,8803.37309749074,1482.10612916495,1560.26326614562,2133.27848621966,2431
0610230,Cuddeback Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95528,11604.0268456376,7335.57046979866,375.838926174497,1805.36912751678,2087.24832214765,149
0610260,Culver City Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90232,11949.1881298992,7284.85442329227,1757.97872340426,1462.76595744681,1443.58902575588,7144
0610290,Cupertino Union,CALIFORNIA,01-Elementary school system only,KG,08,95014,12291.4242930369,8202.78753671601,1140.75908541151,1495.99723550078,1451.88043540863,17363
0610320,Curtis Creek Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95370,11436.1233480176,6475.77092511013,143.171806167401,2070.4845814978,2746.69603524229,454
0610350,Cutler-Orosi Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93647,13921.9465189111,7613.34618164298,2287.4006263551,1463.02095880511,2558.17875210793,4151
0610380,Cutten Elementary,CALIFORNIA,01-Elementary school system only,KG,06,95503,9929.50819672131,6795.08196721311,306.55737704918,1236.06557377049,1591.80327868852,610
0600009,Cuyama Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93254,19155,9860,415,3970,4910,200
0610440,Cypress Elementary,CALIFORNIA,01-Elementary school system only,KG,06,90630,11127.198572521,7412.18455263829,834.820290593933,1281.92709660974,1598.26663267907,3923
0610620,Davis Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95616,12987.1899382788,7809.36299056714,1937.4636077792,1660.18399906836,1580.1793408641,8587
0610680,Death Valley Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92384,49857.1428571429,20357.1428571429,1571.42857142857,14142.8571428571,13785.7142857143,28
0610710,Dehesa Elementary,CALIFORNIA,01-Elementary school system only,KG,12,92019,28137.6811594203,15456.5217391304,1826.08695652174,6688.40579710145,4166.66666666667,138
0610740,Del Mar Union Elementary,CALIFORNIA,01-Elementary school system only,KG,06,92130,15584.0957072484,10138.6347642505,1012.43255923059,1712.87825475018,2720.15012901712,4263
0691063,Del Norte County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95531,23236.2637362637,11560.4395604396,5359.89010989011,6156.59340659341,159.340659340659,364
0610770,Del Norte County Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95531,13550.9536784741,8113.3514986376,1471.38964577657,1134.33242506812,2831.88010899183,3670
0610860,Delano Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,93215,14459.5875799953,7729.31974401517,2219.00924389666,1639.01398435648,2872.24460772695,4219
0610890,Delano Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93215,14966.2986635677,9134.66008134805,1301.56885531668,1694.21847762929,2835.85124927368,6884
0600039,Delhi Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95315,13803.951956606,7976.75319643549,1595.8930647036,1931.4219294847,2299.88376598218,2581
0610980,Delphic Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96064,13550,6416.66666666667,450,4550,2133.33333333333,60
0611040,Denair Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95316,13961.5082482325,8746.26865671642,1152.39591516104,1941.08405341713,2121.75962293794,1273
0611100,Desert Center Unified,CALIFORNIA,01-Elementary school system only,KG,08,92239,43862.0689655172,16413.7931034483,2206.89655172414,13275.8620689655,11965.5172413793,29
0611110,Desert Sands Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92253,13157.2527088431,8054.56134218805,1584.30618664803,1511.04508912968,2007.34009087732,28610
0611130,Di Giorgio Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93203,11906.25,6781.25,125,1950.89285714286,3049.10714285714,224
0600065,Dinuba Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93618,12543.0244781499,7421.53476497973,1889.92341192371,1405.16594083196,1826.40036041448,6659
0611220,Dixie Elementary,CALIFORNIA,01-Elementary school system only,KG,08,94903,13071.6448032291,8673.56205852674,957.618567103935,1785.06559031282,1655.39858728557,1982
0611280,Dixon Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95620,12277.1722204921,7335.72095920274,1363.12675179072,1871.06820305201,1707.25630644659,3211
0600033,Dos Palos Oro Loma Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93620,13281.0053564071,7579.72805933251,1165.22455706634,1936.13514627112,2599.91759373712,2427
0611430,Douglas City Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96024,12331.4285714286,8011.42857142857,440,1680,2200,175
0611460,Downey Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90241,13422.6794778825,8815.85387962292,1236.26722262509,1490.16497461929,1880.39340101523,22064
0611490,Dry Creek Joint Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95747,10533.9306698002,7495.88719153937,931.110458284371,1232.07990599295,874.853113983549,6808
0611520,Duarte Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91010,14364.5070422535,8737.46478873239,1309.01408450704,2218.30985915493,2099.71830985915,3550
0600019,Dublin Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94568,10903.4739454094,6891.39784946237,1092.30769230769,1409.92555831266,1509.84284532672,12090
0611550,Ducor Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93218,13541.6666666667,7613.09523809524,589.285714285714,2696.42857142857,2642.85714285714,168
0611610,Dunham Elementary,CALIFORNIA,01-Elementary school system only,KG,06,94952,12767.8571428571,8523.80952380952,1095.2380952381,2547.61904761905,601.190476190476,168
0611670,Dunsmuir Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96025,15455.5555555556,7511.11111111111,366.666666666667,3566.66666666667,4011.11111111111,90
0611700,Dunsmuir Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,96025,33459.0163934426,14836.0655737705,2262.29508196721,8262.29508196721,8098.36065573771,61
0611730,Durham Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95938,11500.9633911368,7170.52023121387,1079.96146435453,1600.19267822736,1650.28901734104,1038
0611760,Earlimart Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93219,13976.5258215962,7630.28169014085,2037.55868544601,1541.66666666667,2767.01877934272,1704
0611780,East Nicolaus Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,95659,12096.3455149502,6245.84717607973,956.810631229236,2571.42857142857,2322.25913621262,301
0611820,East Side Union High,CALIFORNIA,02-Secondary school system only,KG,12,95133,13316.6415995753,7946.73980359197,2284.08387153853,1412.54534194462,1673.27258250022,22606
0611850,East Whittier City Elementary,CALIFORNIA,01-Elementary school system only,KG,08,90605,12031.6219369895,8168.26137689615,686.81446907818,1526.7211201867,1649.82497082847,8570
0611870,Eastern Sierra Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93517,26846.1538461538,14066.9975186104,1332.50620347395,5885.85607940447,5560.79404466501,403
0611910,Eastside Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93535,13495.572519084,8160.30534351145,1005.80152671756,1941.06870229008,2388.39694656489,3275
0611940,Edison Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93220,14633.0798479087,7948.66920152091,1777.56653992395,2004.75285171103,2902.09125475285,1052
0612030,El Centro Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92243,13512.9906025428,8426.57084945642,1120.87709600147,1685.27731711811,2280.26533996683,5427
0691006,El Dorado County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95667,49014.1843971631,19542.0466058764,12296.8591691996,11896.6565349544,5278.62208713273,987
0612070,El Dorado Union High,CALIFORNIA,02-Secondary school system only,08,12,95667,12259.8308354355,6492.65469654251,1986.64490280457,1576.04985902953,2204.48137705891,6739
0612090,El Monte City,CALIFORNIA,01-Elementary school system only,KG,08,91731,16557.9855036241,9887.02824293926,2324.6688327918,1608.72281929518,2737.56560859785,8002
0612120,El Monte Union High,CALIFORNIA,02-Secondary school system only,09,12,91731,15284.7720435084,8473.27007637121,2275.86206896552,1785.46632723907,2750.17357093265,8642
0612150,El Nido Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95317,14027.6243093923,7088.39779005525,983.425414364641,2591.16022099447,3364.6408839779,181
0612180,El Rancho Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90660,13057.7195467422,7846.9074598678,1267.70538243626,1885.85930122757,2057.24740321058,8472
0612210,El Segundo Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,90245,11603.5331595714,7508.54329568491,904.141326382855,1676.51317694758,1514.33536055604,3453
0600026,El Tejon Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93243,12635.0267379679,6970.58823529412,438.502673796791,2092.24598930481,3133.68983957219,748
0612330,Elk Grove Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95624,12557.4484944532,8073.470681458,1411.6323296355,1413.56576862124,1658.77971473851,63100
0612360,Elk Hills Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93276,10791.4438502674,5839.57219251337,69.5187165775401,2631.01604278075,2251.33689839572,187
0612600,Elverta Joint Elementary,CALIFORNIA,03-Elementary/secondary school system,KG,12,95626,12239.2026578073,6803.98671096346,531.56146179402,2541.52823920266,2362.12624584718,301
0612630,Emery Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94608,18079.4078061911,10534.3203230148,1380.88829071332,3344.54912516824,2819.65006729475,743
0612690,Empire Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95357,13156.9977056703,8398.88561127499,1158.63651261881,1344.80498197312,2254.67059980334,3051
0612750,Encinitas Union Elementary,CALIFORNIA,01-Elementary school system only,KG,06,92024,12837.5,8784.84848484848,1466.85606060606,1240.7196969697,1345.07575757576,5280
0612810,Enterprise Elementary,CALIFORNIA,03-Elementary/secondary school system,KG,12,96002,13570.8945260347,8064.35246995995,1460.61415220294,1776.50200267023,2269.4259012016,3745
0612840,Escalon Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95320,10769.050802139,6793.11497326203,797.794117647059,1437.5,1740.64171122995,2992
0612880,Escondido Union,CALIFORNIA,01-Elementary school system only,KG,08,92029,13956.6235286467,8222.14996423229,1863.04220589192,1613.708785849,2257.72257267347,15377
0612910,Escondido Union High,CALIFORNIA,02-Secondary school system only,06,12,92027,14894.8940793047,8160.51059206953,2612.16730038023,2039.24497555676,2082.97121129821,7364
0612930,Esparto Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95627,14025.5047821467,7624.86716259299,622.741764080765,2815.09032943677,2962.80552603613,941
0612960,Etiwanda Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91739,11243.2182928561,7370.40193154381,1137.12540832268,978.057094162761,1757.63385882687,14082
0600052,Eureka City Schools,CALIFORNIA,03-Elementary/secondary school system,KG,12,95501,12985.7260499588,6740.32390886632,2240.18665934669,1672.79714520999,2332.41833653582,3643
0613080,Eureka Union,CALIFORNIA,01-Elementary school system only,KG,08,95746,10943.4977578475,6956.95067264574,1167.11509715994,1401.79372197309,1417.63826606876,3345
0613140,Evergreen Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95148,11309.3458806163,8083.77156564259,799.981548113295,1211.27410277701,1214.3186640834,10839
0613170,Evergreen Union,CALIFORNIA,03-Elementary/secondary school system,KG,12,96022,11683.64831553,7110.1068200493,706.655710764174,1844.70008216927,2022.18570254725,1217
0613290,Fairfax Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93307,12897.8374347502,7827.36763609247,860.55182699478,1487.32289336316,2722.59507829978,2682
0613360,Fairfield-Suisun Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94534,11181.8733940668,6567.85797710815,1328.94183601962,1553.28194347115,1731.79163746788,21405
0613470,Fall River Joint Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,96013,14287.5,8122.5,874.166666666667,2417.5,2873.33333333333,1200
0613500,Fallbrook Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92028,13863.7715645449,8506.44457664089,1012.49256395003,1951.81439619274,2393.02002776125,5043
0613530,Fallbrook Union High,CALIFORNIA,02-Secondary school system only,09,12,92028,14957.2887650882,8402.04271123491,1079.38718662953,2507.42804085422,2968.43082636955,2154
0600035,Farmersville Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93223,14091.8327471669,7772.17663149668,1872.99726455647,2072.29386479093,2374.36498632278,2559
0600037,Ferndale Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95536,14846.3157894737,9566.31578947369,654.736842105263,2307.36842105263,2317.89473684211,475
0613740,Fieldbrook Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95519,11167.8832116788,6948.90510948905,503.649635036496,2211.67883211679,1503.6496350365,137
0613800,Fillmore Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93016,13555.0858652576,7612.15323645971,1637.25231175694,1891.67767503303,2414.00264200793,3785
0613840,Firebaugh-Las Deltas Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93622,14737.9464285714,7933.03571428571,1794.64285714286,1984.375,3025.89285714286,2240
0613860,Flournoy Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96029,12714.2857142857,7400,28.5714285714286,2971.42857142857,2314.28571428571,35
0613890,Folsom-Cordova Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95742,11774.6663431206,7290.65760737685,1282.26158699345,1414.94782819704,1786.79932055326,20605
0613920,Fontana Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92334,15045.2456309344,8967.19416540526,2126.02174212192,1556.48823448466,2395.54148892253,36335
0613980,Foresthill Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95631,12149.7461928934,7449.2385786802,461.928934010152,1923.8578680203,2314.72081218274,394
0614010,Forestville Union Elementary,CALIFORNIA,01-Elementary school system only,KG,06,95436,18772.1518987342,10561.1814345992,607.594936708861,3523.20675105485,4080.16877637131,237
0614040,Forks of Salmon Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96031,30777.7777777778,10888.8888888889,222.222222222222,10000,9666.66666666667,9
0614070,Fort Bragg Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95437,14147.1251409245,8142.61555806088,1758.7373167982,1741.82638105975,2503.94588500564,1774
0614130,Fort Ross Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95421,34952.380952381,22428.5714285714,809.52380952381,7476.19047619048,4238.09523809524,21
0600011,Fort Sage Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,96113,12457.5645756458,7826.56826568266,36.90036900369,2752.76752767528,1841.32841328413,271
0614190,Fortuna Union High,CALIFORNIA,02-Secondary school system only,09,12,95540,13319.783197832,7616.98283649503,1263.77597109304,2402.89069557362,2036.13369467028,1107
0614220,Fountain Valley Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92708,10331.2262958281,6748.41972187105,1080.1201011378,1191.84576485461,1310.8407079646,6328
0614250,Fowler Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93625,13169.4785276074,8172.54601226994,925.996932515337,1292.17791411043,2778.75766871166,2608
0614340,Franklin Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95993,9788.0658436214,6493.82716049383,393.004115226337,1290.12345679012,1611.11111111111,486
0614370,Franklin-McKinley Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95112,14337.2474057892,9189.78700163845,876.706717640634,2107.04533042054,2163.70835608957,7324
0614400,Fremont Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,94537,11629.1919873959,7778.21854602746,1119.26063470628,1299.12221471978,1432.59059194238,35544
0614430,Fremont Union High,CALIFORNIA,02-Secondary school system only,09,12,94087,15994.0119760479,9680.27581201234,2296.67936853566,2284.61259299583,1732.44420250408,11022
0614490,French Gulch-Whiskeytown Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96033,20521.7391304348,12478.2608695652,173.913043478261,5521.73913043478,2347.82608695652,23
0614520,Freshwater Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95503,13342.8571428571,7860,197.142857142857,1242.85714285714,4042.85714285714,350
0691007,Fresno County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,93721,147061.740890688,63261.1336032389,50235.8299595142,26035.4251012146,7529.35222672065,988
0614550,Fresno Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,93721,14625.4778502361,8569.9488419159,1939.39734652575,1515.516078255,2600.61558353946,71152
0614700,Fruitvale Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93308,10489.635678392,6749.68592964824,853.643216080402,1161.74623115578,1724.56030150754,3184
0614730,Fullerton Elementary,CALIFORNIA,01-Elementary school system only,KG,08,92833,12242.0601515267,7925.15497053647,1338.79237774547,1462.38616361828,1515.72663962654,13067
0614760,Fullerton Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,92833,12062.9426798102,7561.59182183279,1211.68309602045,1434.6841913107,1854.98357064622,13695
0614790,Galt Joint Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95632,12063.687150838,7469.83240223464,1092.45810055866,1766.48044692737,1734.91620111732,3580
0614820,Galt Joint Union High,CALIFORNIA,02-Secondary school system only,09,12,95632,14169.3620844564,8632.9739442947,1086.70260557053,2169.81132075472,2279.87421383648,2226
0614880,Garden Grove Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,92840,13564.3129004042,8778.89411597835,1364.60130966171,1377.9106876906,2042.90678707359,42301
0614910,Garfield Elementary,CALIFORNIA,01-Elementary school system only,KG,06,95503,13453.125,7453.125,281.25,4234.375,1484.375,64
0614940,Garvey Elementary,CALIFORNIA,01-Elementary school system only,KG,08,91770,16755.137735024,10341.4954088325,2300.39352864014,1769.12986445125,2344.11893310013,4574
0614950,Gateway Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,96003,15275.6214566071,9469.69036197122,1215.0021805495,2078.93589184474,2511.99302224161,2293
0614970,Gazelle Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96034,15000,6147.05882352941,764.705882352941,3588.23529411765,4500,34
0615000,General Shafter Elementary,CALIFORNIA,01-Elementary school system only,KG,08,93313,18251.572327044,9534.59119496855,132.075471698113,4050.31446540881,4534.59119496855,159
0615090,Gerber Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,96035,13902.1164021164,8375.66137566138,1082.01058201058,1867.72486772487,2576.71957671958,378
0615150,Geyserville Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95441,19038.7931034483,11318.9655172414,711.206896551724,2943.96551724138,4064.65517241379,232
0615180,Gilroy Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,95020,12490.2860226659,7431.82227019248,1450.44072674942,1534.17880913833,2073.84421658572,11118
0615240,Glendale Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91206,12504.8276396913,8472.37194152546,1200.74450347047,1230.40831362209,1601.30288107333,25789
0615270,Glendora Unified,CALIFORNIA,03-Elementary/secondary school system,KG,12,91741,11440.9558210614,8074.04834676299,977.07696582384,1187.27424284523,1202.55626562934,7198
0691008,Glenn County Office of Education,CALIFORNIA,05-Vocational or special education school system,KG,12,95988,67913.3858267717,32925.1968503937,17059.0551181102,13555.1181102362,4374.0157480315,254
0615390,Gold Oak Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95667,10707.468879668,5919.08713692946,412.863070539419,2174.27385892116,2201.24481327801,482
0615450,Gold Trail Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95667,10795.7639939486,7148.2602118003,310.136157337368,1608.16944024206,1729.19818456884,661
0615480,Golden Feather Union Elementary,CALIFORNIA,01-Elementary school system only,KG,08,95965,27573.7704918033,12934.4262295082,16.3934426229508,7622.95081967213,7000,61
